secao, aula, tipo, duracao_min, descricao
"Módulo 02 — Product Discovery: Validando Ideias Antes de Construir","1. O que é Product Discovery?","video","3",""
"Módulo 02 — Product Discovery: Validando Ideias Antes de Construir","2. Processo de Discovery","video","3",""
"Módulo 02 — Product Discovery: Validando Ideias Antes de Construir","3. Técnicas de Pesquisa","video","3",""
"Módulo 02 — Product Discovery: Validando Ideias Antes de Construir","4. Frameworks de Discovery","video","3",""
"Módulo 02 — Product Discovery: Validando Ideias Antes de Construir","5. Mapeamento","video","3",""
"Módulo 02 — Product Discovery: Validando Ideias Antes de Construir","6. Validação de Hipóteses","video","3",""
"Módulo 02 — Product Discovery: Validando Ideias Antes de Construir","7. Product Discovery no Contexto Enterprise","video","3",""
"Módulo 02 — Product Discovery: Validando Ideias Antes de Construir","8. Saídas do Discovery","video","3",""
"Módulo 02 — Product Discovery: Validando Ideias Antes de Construir","Resumo","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","1. O que é Design Thinking","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","2. As 5 Fases do Design Thinking","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","3. Fase 1: Empatizar","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","Abertura (5 min)","video","3","- 'Conte um pouco sobre seu trabalho/dia a dia'"
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","Exploração (15 min)","video","3","- 'Me conte a última vez que você precisei fazer [ação]'"
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","Aprofundamento (10 min)","video","3","- 'Por que isso é importante para você?'"
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","Fechamento (5 min)","video","3","- 'Mais alguma coisa que gostaria de compartilhar?'"
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","4. Fase 2: Definir","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","5. Fase 3: Ideiar","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","6. Fase 4: Prototipar","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","7. Fase 5: Testar","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","Setup","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","Roteiro (20-30 min)","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","O que observar","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","Erro comum: explicar o protótipo","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","Relatório de teste — Sprint 3","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","8. Design Thinking + Ágil","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","9. Design Thinking em Enterprise","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","10. Anti-padrões em Design Thinking","video","3",""
"Módulo 03 — Design Thinking: Inovação Centrada no Usuário","Resumo","video","3",""
"Módulo 04 — UX: Experiência do Usuário","1. O que é UX?","video","3",""
"Módulo 04 — UX: Experiência do Usuário","2. Pesquisa com Usuários","video","3",""
"Módulo 04 — UX: Experiência do Usuário","3. Arquitetura da Informação (IA)","video","3",""
"Módulo 04 — UX: Experiência do Usuário","4. Jornada do Usuário","video","3",""
"Módulo 04 — UX: Experiência do Usuário","5. Personas","video","3",""
"Módulo 04 — UX: Experiência do Usuário","6. Acessibilidade (a11y)","video","3",""
"Módulo 04 — UX: Experiência do Usuário","7. UX Writing","video","3",""
"Módulo 04 — UX: Experiência do Usuário","8. Heurísticas de Nielsen","video","3",""
"Módulo 04 — UX: Experiência do Usuário","9. UX para Devs","video","3",""
"Módulo 04 — UX: Experiência do Usuário","Antes de codificar","video","3","- [ ] Entendi o problema do usuário (não só a solução)"
"Módulo 04 — UX: Experiência do Usuário","Durante o código","video","3","- [ ] Componentes são acessíveis (teclado, screen reader)"
"Módulo 04 — UX: Experiência do Usuário","Antes do deploy","video","3","- [ ] Testei com teclado apenas (sem mouse)"
"Módulo 04 — UX: Experiência do Usuário","Resumo","video","3",""
"Módulo 05 — Wireframes","1. O que são Wireframes","video","3",""
"Módulo 05 — Wireframes","2. Wireframe vs Mockup vs Protótipo","video","3",""
"Módulo 05 — Wireframes","3. Princípios de Layout","video","3",""
"Módulo 05 — Wireframes","4. Ferramentas","video","3",""
"Módulo 05 — Wireframes","5. Técnicas de Wireframing","video","3",""
"Módulo 05 — Wireframes","6. Anatomia de uma Tela","video","3",""
"Módulo 05 — Wireframes","7. Interação — Estados e Transições","video","3",""
"Módulo 05 — Wireframes","8. Validação de Wireframes","video","3",""
"Módulo 05 — Wireframes","9. Wireframes em Enterprise","video","3",""
"Módulo 06 — UI Design","1. O que é UI Design","video","3",""
"Módulo 06 — UI Design","2. Princípios de Design Visual — CRAP","video","3",""
"Módulo 06 — UI Design","3. Cor","video","3",""
"Módulo 06 — UI Design","4. Tipografia","video","3",""
"Módulo 06 — UI Design","5. Espaçamento e Grid","video","3",""
"Módulo 06 — UI Design","6. Componentes de UI","video","3",""
"Módulo 06 — UI Design","7. Design Patterns","video","3",""
"Módulo 06 — UI Design","8. Microinterações","video","3",""
"Módulo 06 — UI Design","9. Dark Mode","video","3",""
"Módulo 06 — UI Design","10. UI para Devs","video","3",""
"Módulo 07 — Design System: Consistência em Escala","1. O que é Design System","video","3",""
"Módulo 07 — Design System: Consistência em Escala","2. Atomic Design","video","3",""
