secao, aula, tipo, duracao_min, descricao
"Módulo 11 — Frontend: Interfaces Enterprise com Next.js","1. Next.js App Router — A Nova Forma de Pensar","video","3",""
"Módulo 11 — Frontend: Interfaces Enterprise com Next.js","2. Data Fetching — Buscando Dados","video","3",""
"Módulo 11 — Frontend: Interfaces Enterprise com Next.js","3. Loading, Error e Empty States","video","3",""
"Módulo 11 — Frontend: Interfaces Enterprise com Next.js","4. Formulários com Server Actions","video","3",""
"Módulo 11 — Frontend: Interfaces Enterprise com Next.js","5. Gerenciamento de Estado","video","3",""
"Módulo 11 — Frontend: Interfaces Enterprise com Next.js","6. TanStack Query — Cache de Servidor","video","3",""
"Módulo 11 — Frontend: Interfaces Enterprise com Next.js","7. Acessibilidade (WCAG 2.1)","video","3",""
"Módulo 11 — Frontend: Interfaces Enterprise com Next.js","8. Responsividade com Tailwind","video","3",""
"Módulo 11 — Frontend: Interfaces Enterprise com Next.js","9. Otimização de Performance","video","3",""
"Módulo 14 — DevOps: Docker, CI/CD e Deploy","1. Por que DevOps importa","video","3",""
"Módulo 14 — DevOps: Docker, CI/CD e Deploy","2. Docker — Containerização","video","3",""
"Módulo 14 — DevOps: Docker, CI/CD e Deploy","3. GitHub Actions — CI/CD","video","3",""
"Módulo 14 — DevOps: Docker, CI/CD e Deploy","4. Variáveis de Ambiente","video","3",""
"Módulo 14 — DevOps: Docker, CI/CD e Deploy","5. Estratégias de Deploy","video","3",""
"Módulo 14 — DevOps: Docker, CI/CD e Deploy","6. Docker Compose para múltiplos ambientes","video","3",""
"Módulo 14 — DevOps: Docker, CI/CD e Deploy","7. Health Checks e Graceful Shutdown","video","3",""
"Módulo 14 — DevOps: Docker, CI/CD e Deploy","8. Logs Estruturados","video","3",""
"Módulo 15 — QA: Testes e Qualidade","1. Por que testar?","video","3",""
"Módulo 15 — QA: Testes e Qualidade","2. Testes Unitários com Jest","video","3",""
"Módulo 15 — QA: Testes e Qualidade","3. Testes de Integração com Supertest","video","3",""
"Módulo 15 — QA: Testes e Qualidade","4. Testes E2E com Playwright","video","3",""
"Módulo 15 — QA: Testes e Qualidade","5. Cobertura de Código","video","3",""
"Módulo 15 — QA: Testes e Qualidade","6. GitHub Actions com Testes","video","3",""
"Módulo 15 — QA: Testes e Qualidade","7. TDD — Test-Driven Development","video","3",""
"Módulo 16 — Observabilidade: Logs, Métricas e Tracing","1. O que é observabilidade?","video","3",""
"Módulo 16 — Observabilidade: Logs, Métricas e Tracing","2. Logs Estruturados","video","3",""
"Módulo 16 — Observabilidade: Logs, Métricas e Tracing","3. Métricas","video","3",""
"Módulo 16 — Observabilidade: Logs, Métricas e Tracing","4. Tracing Distribuído","video","3",""
"Módulo 16 — Observabilidade: Logs, Métricas e Tracing","5. Dashboards com Grafana","video","3",""
"Módulo 16 — Observabilidade: Logs, Métricas e Tracing","6. Alertas","video","3",""
"Módulo 16 — Observabilidade: Logs, Métricas e Tracing","7. Centralização de Logs (Loki + Grafana)","video","3",""
"Módulo 16 — Observabilidade: Logs, Métricas e Tracing","Resumo","video","3",""
