secao, aula, tipo, duracao_min, descricao
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","1. Visão Geral do Projeto","video","3",""
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","2. Escopo Completo","video","3",""
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","3. Requisitos Funcionais","video","3",""
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","4. Requisitos Não-Funcionais","video","3",""
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","5. Stack Tecnológica","video","3",""
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","6. Arquitetura","video","3",""
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","7. Módulos do Sistema","video","3",""
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","8. Critérios de Avaliação","video","3",""
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","9. Entregáveis","video","3",""
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","Descrição","video","3","[Proposta de valor em 2-3 frases]"
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","Stack","video","3","- Backend: NestJS + Prisma + PostgreSQL + Redis"
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","Funcionalidades","video","3","- [x] Autenticação multi-tenant"
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","Quick Start","video","3","```bash"
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","Estrutura","video","3","[Diagrama de pastas]"
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","Documentação","video","3","- [Swagger](link)"
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","Deploy","video","3","[Link para produção]"
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","10. Apresentação Final","video","3",""
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","11. Checklist de Habilidades","video","3",""
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","12. Próximos Passos — Como Continuar Evoluindo","video","3",""
"Módulo 21 — Projeto Final: Enterprise SaaS de Gestão de Projetos e Tarefas","Resumo","video","3",""
