secao, aula, tipo, duracao_min, descricao
"Módulo 00 — Introdução: A Nova Engenharia de Software","1. Como a IA mudou o desenvolvimento de software","video","3",""
"Módulo 00 — Introdução: A Nova Engenharia de Software","2. Desenvolvimento tradicional vs. com agentes","video","3",""
"Módulo 00 — Introdução: A Nova Engenharia de Software","3. O papel do arquiteto","video","3",""
"Módulo 00 — Introdução: A Nova Engenharia de Software","4. O papel do Product Owner","video","3",""
"Módulo 00 — Introdução: A Nova Engenharia de Software","5. O papel da IA","video","3",""
"Módulo 00 — Introdução: A Nova Engenharia de Software","6. Como dividir trabalho entre humanos e agentes","video","3",""
"Módulo 00 — Introdução: A Nova Engenharia de Software","7. O ciclo de desenvolvimento com agentes","video","3",""
"Módulo 00 — Introdução: A Nova Engenharia de Software","8. O que esperar desta formação","video","3",""
"Módulo 00 — Introdução: A Nova Engenharia de Software","Resumo","video","3",""
"Módulo 01 — Mentalidade Enterprise","1. O que é software Enterprise?","video","3",""
"Módulo 01 — Mentalidade Enterprise","2. Escalabilidade","video","3",""
"Módulo 01 — Mentalidade Enterprise","3. Governança","video","3",""
"Módulo 01 — Mentalidade Enterprise","Regras de Governança","video","3",""
"Módulo 01 — Mentalidade Enterprise","4. Manutenibilidade","video","3",""
"Módulo 01 — Mentalidade Enterprise","5. Observabilidade","video","3",""
"Módulo 01 — Mentalidade Enterprise","6. Segurança","video","3",""
"Módulo 01 — Mentalidade Enterprise","7. Compliance","video","3",""
"Módulo 01 — Mentalidade Enterprise","8. Multi-tenant","video","3",""
"Módulo 01 — Mentalidade Enterprise","9. Alta disponibilidade","video","3",""
"Módulo 01 — Mentalidade Enterprise","Resumo","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","Pré-requisitos","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","Objetivos de aprendizagem","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","Competências desenvolvidas","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","1. Introdução: por que 90% cometem esse erro","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","2. Erro 1: Confiar cegamente na saída da IA","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","3. Erro 2: Prompts vagos sem contexto","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","4. Erro 3: Pular code review e testes","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","5. Erro 4: Ignorar configuração do projeto (AGENTS.md / CLAUDE.md)","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","Stack","video","3","React 18 + TypeScript + Tailwind CSS"
"O erro que 90% das pessoas cometem usando IA para programar","Regras","video","3","- Use arrow functions para componentes"
"O erro que 90% das pessoas cometem usando IA para programar","6. Erro 5: Tratar IA como resposta final","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","7. Conclusão: como usar IA corretamente","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","Recursos didáticos sugeridos","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","Exercício prático","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","Desafio final","video","3",""
"O erro que 90% das pessoas cometem usando IA para programar","Leituras complementares","video","3",""
