secao, aula, tipo, duracao_min, descricao
"Módulo 08 — Arquitetura: Clean Architecture, DDD e SOLID","1. Por que arquitetura importa","video","3",""
"Módulo 08 — Arquitetura: Clean Architecture, DDD e SOLID","2. SOLID — Os 5 princípios","video","3",""
"Módulo 08 — Arquitetura: Clean Architecture, DDD e SOLID","3. Clean Architecture — A Regra da Dependência","video","3",""
"Módulo 08 — Arquitetura: Clean Architecture, DDD e SOLID","4. DDD — Domain-Driven Design","video","3",""
"Módulo 08 — Arquitetura: Clean Architecture, DDD e SOLID","5. Arquitetura Hexagonal (Ports & Adapters)","video","3",""
"Módulo 08 — Arquitetura: Clean Architecture, DDD e SOLID","6. Modular Monolith vs Microservices","video","3",""
"Módulo 08 — Arquitetura: Clean Architecture, DDD e SOLID","7. Event-Driven Architecture","video","3",""
"Módulo 08 — Arquitetura: Clean Architecture, DDD e SOLID","8. Aplicando na prática com NestJS + Prisma","video","3",""
"Módulo 09 — Modelagem de Dados: Prisma e PostgreSQL","1. Por que modelagem importa","video","3",""
"Módulo 09 — Modelagem de Dados: Prisma e PostgreSQL","2. Entidades e Relacionamentos","video","3",""
"Módulo 09 — Modelagem de Dados: Prisma e PostgreSQL","3. Soft Delete e Audit Trail","video","3",""
"Módulo 09 — Modelagem de Dados: Prisma e PostgreSQL","4. Índices e Performance","video","3",""
"Módulo 09 — Modelagem de Dados: Prisma e PostgreSQL","5. Migrações Seguras","video","3",""
"Módulo 09 — Modelagem de Dados: Prisma e PostgreSQL","6. Estratégias de Backup","video","3",""
"Módulo 09 — Modelagem de Dados: Prisma e PostgreSQL","7. Schema completo de exemplo","video","3",""
"Módulo 09 — Modelagem de Dados: Prisma e PostgreSQL","Resumo","video","3",""
"Módulo 10 — Backend: APIs Enterprise com NestJS","1. Por que NestJS?","video","3",""
"Módulo 10 — Backend: APIs Enterprise com NestJS","2. Estrutura de módulos","video","3",""
"Módulo 10 — Backend: APIs Enterprise com NestJS","3. Controllers, Services, Repositories","video","3",""
"Módulo 10 — Backend: APIs Enterprise com NestJS","4. DTOs e Validação com Zod","video","3",""
"Módulo 10 — Backend: APIs Enterprise com NestJS","5. Tratamento de Erros","video","3",""
"Módulo 10 — Backend: APIs Enterprise com NestJS","6. Interceptors e Guards","video","3",""
"Módulo 10 — Backend: APIs Enterprise com NestJS","7. Paginação, Filtros e Ordenação","video","3",""
"Módulo 10 — Backend: APIs Enterprise com NestJS","8. Cache com Redis","video","3",""
"Módulo 10 — Backend: APIs Enterprise com NestJS","9. Health Checks","video","3",""
"Módulo 10 — Backend: APIs Enterprise com NestJS","10. Testes","video","3",""
"Módulo 12 — Segurança","1. Por que segurança é o requisito mais importante","video","3",""
"Módulo 12 — Segurança","2. OWASP Top 10 (2021)","video","3",""
"Módulo 12 — Segurança","3. Autenticação com JWT","video","3",""
"Módulo 12 — Segurança","4. Autorização com CASL (RBAC)","video","3",""
"Módulo 12 — Segurança","5. Rate Limiting","video","3",""
"Módulo 12 — Segurança","6. Headers de Segurança (Helmet + CSP)","video","3",""
"Módulo 12 — Segurança","7. Proteções Específicas","video","3",""
"Módulo 12 — Segurança","8. Secrets Management","video","3",""
"Módulo 12 — Segurança","9. Auditoria de Segurança","video","3",""
"Módulo 13 — Multi-Tenant: Conceitos e Estratégias de Isolamento","1. O que é Multi-Tenancy?","video","3",""
"Módulo 13 — Multi-Tenant: Conceitos e Estratégias de Isolamento","2. Abordagens de Isolamento","video","3",""
"Módulo 13 — Multi-Tenant: Conceitos e Estratégias de Isolamento","3. Análise Aprofundada por Dimensão","video","3",""
"Módulo 13b — Multi-Tenant: Implementação com NestJS e Prisma","1. Identificação do Tenant","video","3",""
"Módulo 13b — Multi-Tenant: Implementação com NestJS e Prisma","2. Middleware de Tenant","video","3",""
"Módulo 13b — Multi-Tenant: Implementação com NestJS e Prisma","3. Prisma Multi-Tenant","video","3",""
"Módulo 13c — Multi-Tenant: Migrations, Dados e Seed","1. Migrations Multi-Tenant","video","3",""
"Módulo 13c — Multi-Tenant: Migrations, Dados e Seed","2. Dados Compartilhados vs Por Tenant","video","3",""
"Módulo 13c — Multi-Tenant: Migrations, Dados e Seed","3. Seed por Tenant","video","3",""
"Módulo 13d — Multi-Tenant: Operações e Qualidade","1. Backup e Restore","video","3",""
"Módulo 13d — Multi-Tenant: Operações e Qualidade","2. Performance","video","3",""
"Módulo 13d — Multi-Tenant: Operações e Qualidade","3. Pricing Baseado em Tenancy","video","3",""
"Módulo 13d — Multi-Tenant: Operações e Qualidade","4. Testes de Isolamento entre Tenants","video","3",""
