secao, aula, tipo, duracao_min, descricao
"Módulo 17 — Governança","1. O que é Governança de TI","video","3",""
"Módulo 17 — Governança","2. Governança de Software","video","3",""
"Módulo 17 — Governança","3. Code Review","video","3",""
"Módulo 17 — Governança","Descrição","video","3",""
"Módulo 17 — Governança","Tipo de mudança","video","3",""
"Módulo 17 — Governança","Como testar","video","3",""
"Módulo 17 — Governança","Checklist","video","3",""
"Módulo 17 — Governança","Screenshots (se aplicável)","video","3",""
"Módulo 17 — Governança","Linked Issues","video","3",""
"Módulo 17 — Governança","4. Padrões de Código","video","3",""
"Módulo 17 — Governança","5. Gestão de Dependências","video","3",""
"Módulo 17 — Governança","6. Gestão de Segredos","video","3",""
"Módulo 17 — Governança","7. Políticas de Deploy","video","3",""
"Módulo 17 — Governança","8. Documentação de Arquitetura — ADRs","video","3",""
"Módulo 17 — Governança","Status","video","3","- [ ] Proposto"
"Módulo 17 — Governança","Contexto","video","3","<!-- Por que essa decisão é necessária? Qual problema estamos resolvendo? -->"
"Módulo 17 — Governança","Decisão","video","3","<!-- Qual foi a decisão tomada? -->"
"Módulo 17 — Governança","Consequências","video","3","<!-- Positivas e negativas. O que ganhamos e o que sacrificamos? -->"
"Módulo 17 — Governança","Alternativas consideradas","video","3","<!-- Quais outras opções foram avaliadas e por que foram descartadas? -->"
"Módulo 17 — Governança","Referências","video","3","<!-- Links para docs, RFCs, outras ADRs -->"
"Módulo 17 — Governança","Status: Aceito","video","3",""
"Módulo 17 — Governança","Contexto","video","3","Precisamos de um banco de dados relacional para o novo SaaS de gestão de projeto"
"Módulo 17 — Governança","Decisão","video","3","Adotar PostgreSQL 16 como banco de dados principal."
"Módulo 17 — Governança","Consequências","video","3","- Positivas:成熟, boa documentação, suporte a JSONB, extensões, comunidade grande"
"Módulo 17 — Governança","Alternativas consideradas","video","3","- MySQL 8: similar, mas menos suporte a tipos avançados e extensões"
"Módulo 17 — Governança","Referências","video","3","- https://www.postgresql.org/docs/16/index.html"
"Módulo 17 — Governança","9. Compliance","video","3",""
"Módulo 17 — Governança","10. SLAs, SLOs e SLIs","video","3",""
"Módulo 17 — Governança","11. Auditoria de Código","video","3",""
"Módulo 17 — Governança","12. Governança em Equipes","video","3",""
"Módulo 17 — Governança","Resumo","video","3",""
"Módulo 18 — Agentes de IA: Criação de Agentes Especializados","1. Por que agentes especializados?","video","3",""
"Módulo 18 — Agentes de IA: Criação de Agentes Especializados","2. Anatomia de um agente","video","3",""
"Módulo 18 — Agentes de IA: Criação de Agentes Especializados","3. Os 17 agentes da formação","video","3",""
"Módulo 18 — Agentes de IA: Criação de Agentes Especializados","4. Como criar um novo agente","video","3",""
"Módulo 18 — Agentes de IA: Criação de Agentes Especializados","5. Como combinar agentes em pipeline","video","3",""
"Módulo 18 — Agentes de IA: Criação de Agentes Especializados","6. Integração com OpenCode","video","3",""
"Módulo 18 — Agentes de IA: Criação de Agentes Especializados","7. Boas práticas na criação de agentes","video","3",""
"Módulo 18 — Agentes de IA: Criação de Agentes Especializados","8. O futuro: agentes que criam agentes","video","3",""
"Módulo 19 — Auditorias","1. Por que auditoria é o diferencial","video","3",""
"Módulo 19 — Auditorias","2. O sistema de score (0-10)","video","3",""
"Módulo 19 — Auditorias","3. Os 16 tipos de auditoria","video","3",""
"Módulo 19 — Auditorias","4. Estrutura de cada auditoria","video","3",""
"Módulo 19 — Auditorias","Resumo Executivo","video","3","[3-5 frases]"
"Módulo 19 — Auditorias","Resultados por Dimensão","video","3","| Dimensão | Score | Riscos | Observação |"
"Módulo 19 — Auditorias","Riscos Identificados","video","3",""
"Módulo 19 — Auditorias","Plano de Ação","video","3","| Prioridade | Ação | Responsável | Prazo | Esforço |"
"Módulo 19 — Auditorias","Recomendações","video","3","[Melhorias opcionais para atingir score 10]"
"Módulo 19 — Auditorias","5. Exemplo: Auditoria de Segurança","video","3",""
"Módulo 19 — Auditorias","Resumo Executivo","video","3","A API de pagamentos apresenta 2 riscos críticos que impedem"
"Módulo 19 — Auditorias","Resultados por Dimensão","video","3","| Dimensão           | Score | Riscos | Observação           |"
"Módulo 19 — Auditorias","Riscos Identificados","video","3",""
"Módulo 19 — Auditorias","6. Ciclo de auditoria contínua","video","3",""
"Módulo 19 — Auditorias","7. Como interpretar e agir sobre uma auditoria","video","3",""
"Módulo 19 — Auditorias","8. Auditoria como serviço contínuo com agentes","video","3",""
"Módulo 20 — Automação","1. O que é Automação","video","3",""
"Módulo 20 — Automação","2. CI/CD — Pipelines de Integração e Deploy Contínuo","video","3",""
"Módulo 20 — Automação","3. Automação de Testes","video","3",""
"Módulo 20 — Automação","4. Automação de Infraestrutura — IaC","video","3",""
"Módulo 20 — Automação","5. Automação de Deploys","video","3",""
"Módulo 20 — Automação","6. Automação de Banco de Dados","video","3",""
"Módulo 20 — Automação","7. Automação de Segurança","video","3",""
"Módulo 20 — Automação","8. Automação de Code Review","video","3",""
"Módulo 20 — Automação","9. Automação de Releases","video","3",""
"Módulo 20 — Automação","[1.5.0](https://github.com/org/repo/compare/v1.4.0...v1.5.0) (2025-06-15)","video","3",""
"Módulo 20 — Automação","10. Automação de Ambientes","video","3",""
"Módulo 20 — Automação","11. Automação de Monitoramento","video","3",""
"Módulo 20 — Automação","12. Pipeline as Code — Boas Práticas","video","3",""
